"","x"
"TCGA-AA-3667",1.52631578947368
"TCGA-CG-5728",32.3684210526316
"TCGA-HF-7134",5.71052631578947
"TCGA-DM-A28E",1.81578947368421
"TCGA-IN-A6RS",1.86842105263158
"TCGA-CM-6679",1.26315789473684
"TCGA-CG-5726",29.2105263157895
"TCGA-CD-A48A",4.84210526315789
"TCGA-AM-5821",28.7631578947368
"TCGA-AA-3695",3.23684210526316
"TCGA-G4-6295",3.10526315789474
"TCGA-MX-A666",2.15789473684211
"TCGA-BR-4183",0.973684210526316
"TCGA-BR-7722",0.789473684210526
"TCGA-VQ-A91N",2.15789473684211
"TCGA-AA-3861",2.23684210526316
"TCGA-AY-4070",2.92105263157895
"TCGA-BR-4188",1.65789473684211
"TCGA-BR-7715",2.81578947368421
"TCGA-AG-4007",3.10526315789474
"TCGA-DM-A28F",4.89473684210526
"TCGA-BR-A4QI",2.60526315789474
"TCGA-AA-3850",2.18421052631579
"TCGA-VQ-A8PM",1.02631578947368
"TCGA-BR-8487",66.5263157894737
"TCGA-DM-A1D4",3.63157894736842
"TCGA-BR-4292",32.1052631578947
"TCGA-BR-A4PF",2.42105263157895
"TCGA-D7-6818",3.60526315789474
"TCGA-VQ-A927",0.842105263157895
"TCGA-AA-3531",0.368421052631579
"TCGA-AA-3977",176.236842105263
"TCGA-BR-8678",2.44736842105263
"TCGA-CG-4465",14.7631578947368
"TCGA-AA-3968",2.57894736842105
"TCGA-D7-A6EV",3.10526315789474
"TCGA-CM-6161",1.78947368421053
"TCGA-AA-3980",2.07894736842105
"TCGA-KB-A93G",1.76315789473684
"TCGA-IN-7806",1.5
"TCGA-D7-A6EY",31.8421052631579
"TCGA-AA-3662",1.68421052631579
"TCGA-BR-4363",14.2105263157895
"TCGA-G4-6306",2.5
"TCGA-CD-A487",3.81578947368421
"TCGA-CK-6746",28.7631578947368
"TCGA-A6-2682",1.71052631578947
"TCGA-AA-3524",0.342105263157895
"TCGA-FP-7998",1.28947368421053
"TCGA-D7-A6F2",1.39473684210526
"TCGA-AA-A01T",1.94736842105263
"TCGA-HJ-7597",16.5526315789474
"TCGA-BR-A4IZ",0.184210526315789
